person_id,name,age,city,role
P00271,Person_00271,22,Hyderabad,Suspect
P00272,Person_00272,33,Delhi,Person of Interest
P00273,Person_00273,60,Mumbai,Suspect
P00274,Person_00274,22,Delhi,Person of Interest
P00275,Person_00275,37,Surat,Witness
P00276,Person_00276,22,Ahmedabad,Suspect
P00277,Person_00277,58,Bengaluru,Person of Interest
P00278,Person_00278,41,Ahmedabad,Suspect
P00279,Person_00279,48,Mumbai,Associate
P00280,Person_00280,44,Bengaluru,Associate
P00281,Person_00281,56,Pune,Suspect
P00282,Person_00282,45,Bengaluru,Person of Interest
P00283,Person_00283,36,Jaipur,Associate
P00284,Person_00284,45,Rajkot,Suspect
P00285,Person_00285,64,Ahmedabad,Associate
P00286,Person_00286,22,Indore,Person of Interest
P00287,Person_00287,24,Delhi,Suspect
P00288,Person_00288,40,Mumbai,Suspect
P00289,Person_00289,54,Pune,Suspect
P00290,Person_00290,28,Mumbai,Associate
P00291,Person_00291,64,Delhi,Suspect
P00292,Person_00292,48,Pune,Associate
P00293,Person_00293,62,Surat,Person of Interest
P00294,Person_00294,31,Mumbai,Person of Interest
P00295,Person_00295,40,Kolkata,Suspect
P00296,Person_00296,43,Vadodara,Suspect
P00297,Person_00297,23,Pune,Suspect
P00298,Person_00298,28,Vadodara,Person of Interest
P00299,Person_00299,49,Delhi,Person of Interest
P00300,Person_00300,33,Jaipur,Suspect
P00301,Person_00301,37,Jaipur,Suspect
P00302,Person_00302,48,Indore,Associate
P00303,Person_00303,44,Rajkot,Suspect
P00304,Person_00304,57,Ahmedabad,Associate
P00305,Person_00305,52,Mumbai,Suspect
P00306,Person_00306,47,Bengaluru,Associate
P00307,Person_00307,31,Kolkata,Witness
P00308,Person_00308,31,Indore,Suspect
P00309,Person_00309,39,Ahmedabad,Suspect
P00310,Person_00310,41,Jaipur,Suspect
P00311,Person_00311,21,Kolkata,Person of Interest
P00312,Person_00312,42,Ahmedabad,Witness
P00313,Person_00313,46,Vadodara,Suspect
P00314,Person_00314,31,Delhi,Person of Interest
P00315,Person_00315,53,Mumbai,Suspect
P00316,Person_00316,55,Hyderabad,Person of Interest
P00317,Person_00317,38,Indore,Suspect
P00318,Person_00318,29,Mumbai,Associate
P00319,Person_00319,38,Bengaluru,Associate
P00320,Person_00320,33,Indore,Person of Interest
P00321,Person_00321,31,Surat,Person of Interest
P00322,Person_00322,51,Mumbai,Person of Interest
P00323,Person_00323,39,Rajkot,Suspect
P00324,Person_00324,47,Ahmedabad,Associate
P00325,Person_00325,21,Vadodara,Person of Interest
P00326,Person_00326,48,Jaipur,Person of Interest
P00327,Person_00327,39,Indore,Associate
P00328,Person_00328,22,Delhi,Suspect
P00329,Person_00329,48,Mumbai,Person of Interest
P00330,Person_00330,60,Mumbai,Suspect
P00331,Person_00331,47,Ahmedabad,Associate
P00332,Person_00332,39,Jaipur,Suspect
P00333,Person_00333,39,Surat,Associate
P00334,Person_00334,24,Pune,Associate
P00335,Person_00335,58,Bengaluru,Associate
P00336,Person_00336,34,Bengaluru,Associate
P00337,Person_00337,56,Delhi,Witness
P00338,Person_00338,42,Rajkot,Associate
P00339,Person_00339,26,Indore,Witness
P00340,Person_00340,61,Rajkot,Associate
P00341,Person_00341,27,Jaipur,Associate
P00342,Person_00342,27,Bengaluru,Person of Interest
P00343,Person_00343,29,Hyderabad,Person of Interest
P00344,Person_00344,52,Indore,Associate
P00345,Person_00345,38,Indore,Person of Interest
P00346,Person_00346,62,Indore,Associate
P00347,Person_00347,27,Jaipur,Suspect
P00348,Person_00348,47,Hyderabad,Associate
P00349,Person_00349,42,Hyderabad,Person of Interest
P00350,Person_00350,44,Indore,Suspect
P00351,Person_00351,61,Mumbai,Suspect
P00352,Person_00352,41,Indore,Suspect
P00353,Person_00353,43,Ahmedabad,Associate
P00354,Person_00354,33,Surat,Suspect
P00355,Person_00355,56,Surat,Associate
P00356,Person_00356,59,Mumbai,Suspect
P00357,Person_00357,40,Kolkata,Suspect
P00358,Person_00358,42,Hyderabad,Person of Interest
P00359,Person_00359,29,Pune,Person of Interest
P00360,Person_00360,57,Pune,Associate
P00361,Person_00361,45,Kolkata,Associate
P00362,Person_00362,47,Kolkata,Suspect
P00363,Person_00363,37,Hyderabad,Suspect
P00364,Person_00364,57,Kolkata,Suspect
P00365,Person_00365,62,Hyderabad,Suspect
P00366,Person_00366,21,Jaipur,Person of Interest
P00367,Person_00367,33,Kolkata,Associate
P00368,Person_00368,30,Surat,Person of Interest
P00369,Person_00369,34,Rajkot,Suspect
P00370,Person_00370,55,Hyderabad,Associate
P00371,Person_00371,29,Jaipur,Person of Interest
P00372,Person_00372,25,Pune,Person of Interest
P00373,Person_00373,47,Surat,Person of Interest
P00374,Person_00374,28,Jaipur,Suspect
P00375,Person_00375,39,Kolkata,Suspect
P00376,Person_00376,29,Mumbai,Person of Interest
P00377,Person_00377,21,Indore,Suspect
P00378,Person_00378,61,Jaipur,Suspect
P00379,Person_00379,60,Ahmedabad,Suspect
P00380,Person_00380,44,Surat,Associate
P00381,Person_00381,23,Pune,Suspect
P00382,Person_00382,58,Pune,Person of Interest
P00383,Person_00383,42,Vadodara,Person of Interest
P00384,Person_00384,54,Hyderabad,Associate
P00385,Person_00385,31,Surat,Suspect
P00386,Person_00386,62,Vadodara,Witness
P00387,Person_00387,64,Kolkata,Suspect
P00388,Person_00388,39,Indore,Suspect
P00389,Person_00389,46,Vadodara,Associate
P00390,Person_00390,57,Mumbai,Witness
P00391,Person_00391,58,Kolkata,Person of Interest
P00392,Person_00392,45,Vadodara,Associate
P00393,Person_00393,28,Jaipur,Witness
P00394,Person_00394,24,Indore,Associate
P00395,Person_00395,54,Ahmedabad,Witness
P00396,Person_00396,60,Indore,Associate
P00397,Person_00397,21,Bengaluru,Person of Interest
P00398,Person_00398,40,Pune,Person of Interest
P00399,Person_00399,37,Ahmedabad,Associate
P00400,Person_00400,53,Pune,Associate
P00401,Person_00401,45,Indore,Associate
P00402,Person_00402,46,Hyderabad,Person of Interest
P00403,Person_00403,35,Ahmedabad,Suspect
P00404,Person_00404,53,Pune,Person of Interest
P00405,Person_00405,64,Jaipur,Suspect
P00406,Person_00406,59,Ahmedabad,Suspect
P00407,Person_00407,25,Pune,Person of Interest
P00408,Person_00408,23,Mumbai,Suspect
P00409,Person_00409,50,Kolkata,Associate
P00410,Person_00410,51,Bengaluru,Suspect
P00411,Person_00411,54,Ahmedabad,Suspect
P00412,Person_00412,47,Mumbai,Suspect
P00413,Person_00413,52,Hyderabad,Person of Interest
P00414,Person_00414,54,Vadodara,Person of Interest
P00415,Person_00415,54,Ahmedabad,Person of Interest
P00416,Person_00416,40,Indore,Person of Interest
P00417,Person_00417,40,Mumbai,Suspect
P00418,Person_00418,35,Mumbai,Suspect
P00419,Person_00419,58,Vadodara,Associate
P00420,Person_00420,64,Mumbai,Witness
P00421,Person_00421,58,Delhi,Associate
P00422,Person_00422,46,Vadodara,Suspect
P00423,Person_00423,32,Jaipur,Associate
P00424,Person_00424,49,Mumbai,Person of Interest
P00425,Person_00425,28,Pune,Person of Interest
P00426,Person_00426,25,Delhi,Person of Interest
P00427,Person_00427,59,Delhi,Associate
P00428,Person_00428,21,Hyderabad,Suspect
P00429,Person_00429,31,Vadodara,Associate
P00430,Person_00430,31,Ahmedabad,Associate
P00431,Person_00431,31,Rajkot,Suspect
P00432,Person_00432,41,Hyderabad,Person of Interest
P00433,Person_00433,27,Mumbai,Associate
P00434,Person_00434,63,Mumbai,Witness
P00435,Person_00435,48,Kolkata,Person of Interest
P00436,Person_00436,53,Ahmedabad,Person of Interest
P00437,Person_00437,38,Vadodara,Associate
P00438,Person_00438,56,Rajkot,Suspect
P00439,Person_00439,55,Ahmedabad,Associate
P00440,Person_00440,45,Hyderabad,Suspect
P00441,Person_00441,43,Indore,Suspect
P00442,Person_00442,58,Pune,Associate
P00443,Person_00443,58,Mumbai,Suspect
P00444,Person_00444,44,Hyderabad,Witness
P00445,Person_00445,23,Ahmedabad,Suspect
P00446,Person_00446,55,Vadodara,Suspect
P00447,Person_00447,43,Bengaluru,Suspect
P00448,Person_00448,26,Vadodara,Suspect
P00449,Person_00449,58,Hyderabad,Suspect
P00450,Person_00450,27,Pune,Associate
P00451,Person_00451,31,Bengaluru,Suspect
P00452,Person_00452,32,Bengaluru,Person of Interest
P00453,Person_00453,54,Indore,Person of Interest
P00454,Person_00454,57,Jaipur,Person of Interest
P00455,Person_00455,26,Kolkata,Suspect
P00456,Person_00456,47,Jaipur,Suspect
P00457,Person_00457,21,Pune,Suspect
P00458,Person_00458,53,Delhi,Associate
P00459,Person_00459,50,Vadodara,Person of Interest
P00460,Person_00460,24,Ahmedabad,Suspect
P00461,Person_00461,60,Rajkot,Person of Interest
P00462,Person_00462,26,Pune,Person of Interest
P00463,Person_00463,35,Bengaluru,Person of Interest
P00464,Person_00464,48,Bengaluru,Associate
P00465,Person_00465,44,Indore,Associate
P00466,Person_00466,47,Rajkot,Suspect
P00467,Person_00467,32,Bengaluru,Suspect
P00468,Person_00468,41,Kolkata,Suspect
P00469,Person_00469,35,Delhi,Associate
P00470,Person_00470,30,Ahmedabad,Suspect
P00471,Person_00471,23,Delhi,Suspect
P00472,Person_00472,50,Bengaluru,Associate
P00473,Person_00473,50,Vadodara,Suspect
P00474,Person_00474,33,Hyderabad,Suspect
P00475,Person_00475,21,Pune,Associate
P00476,Person_00476,41,Kolkata,Person of Interest
P00477,Person_00477,60,Ahmedabad,Suspect
P00478,Person_00478,25,Indore,Person of Interest
P00479,Person_00479,35,Bengaluru,Associate
P00480,Person_00480,35,Delhi,Person of Interest
P00481,Person_00481,63,Rajkot,Suspect
P00482,Person_00482,51,Rajkot,Associate
P00483,Person_00483,59,Pune,Associate
P00484,Person_00484,30,Jaipur,Suspect
P00485,Person_00485,31,Hyderabad,Associate
P00486,Person_00486,48,Bengaluru,Suspect
P00487,Person_00487,25,Indore,Suspect
P00488,Person_00488,35,Bengaluru,Suspect
P00489,Person_00489,60,Rajkot,Suspect
P00490,Person_00490,61,Hyderabad,Suspect
P00491,Person_00491,25,Jaipur,Associate
P00492,Person_00492,54,Kolkata,Suspect
P00493,Person_00493,35,Hyderabad,Associate
P00494,Person_00494,27,Kolkata,Person of Interest
P00495,Person_00495,42,Kolkata,Suspect
P00496,Person_00496,49,Rajkot,Suspect
P00497,Person_00497,37,Ahmedabad,Suspect
P00498,Person_00498,27,Rajkot,Person of Interest
P00499,Person_00499,51,Delhi,Associate
P00500,Person_00500,32,Indore,Associate
P00501,Person_00501,31,Rajkot,Person of Interest
P00502,Person_00502,57,Surat,Suspect
P00503,Person_00503,58,Rajkot,Suspect
P00504,Person_00504,52,Rajkot,Associate
P00505,Person_00505,54,Vadodara,Suspect
P00506,Person_00506,32,Indore,Associate
P00507,Person_00507,46,Hyderabad,Suspect
P00508,Person_00508,43,Hyderabad,Person of Interest
P00509,Person_00509,45,Rajkot,Suspect
P00510,Person_00510,43,Delhi,Suspect
P00511,Person_00511,58,Surat,Suspect
P00512,Person_00512,34,Indore,Suspect
P00513,Person_00513,51,Mumbai,Associate
P00514,Person_00514,24,Pune,Suspect
P00515,Person_00515,46,Jaipur,Suspect
P00516,Person_00516,53,Bengaluru,Suspect
P00517,Person_00517,39,Bengaluru,Suspect
P00518,Person_00518,21,Pune,Suspect
P00519,Person_00519,30,Vadodara,Person of Interest
P00520,Person_00520,45,Jaipur,Suspect
P00521,Person_00521,37,Hyderabad,Associate
P00522,Person_00522,37,Kolkata,Suspect
P00523,Person_00523,33,Pune,Suspect
P00524,Person_00524,35,Rajkot,Suspect
P00525,Person_00525,29,Kolkata,Associate
P00526,Person_00526,50,Mumbai,Associate
P00527,Person_00527,30,Rajkot,Suspect
P00528,Person_00528,57,Ahmedabad,Person of Interest
P00529,Person_00529,24,Surat,Associate
P00530,Person_00530,61,Pune,Suspect
P00531,Person_00531,48,Mumbai,Person of Interest
P00532,Person_00532,56,Kolkata,Suspect
P00533,Person_00533,39,Jaipur,Associate
P00534,Person_00534,48,Surat,Suspect
P00535,Person_00535,48,Bengaluru,Suspect
P00536,Person_00536,51,Kolkata,Person of Interest
P00537,Person_00537,21,Bengaluru,Suspect
P00538,Person_00538,23,Mumbai,Associate
P00539,Person_00539,26,Delhi,Suspect
P00540,Person_00540,51,Delhi,Person of Interest
P00541,Person_00541,61,Surat,Suspect
P00542,Person_00542,60,Vadodara,Suspect
P00543,Person_00543,31,Ahmedabad,Suspect
P00544,Person_00544,30,Delhi,Person of Interest
P00545,Person_00545,25,Surat,Suspect
P00546,Person_00546,52,Jaipur,Suspect
P00547,Person_00547,22,Bengaluru,Person of Interest
P00548,Person_00548,26,Mumbai,Person of Interest
P00549,Person_00549,46,Delhi,Associate
P00550,Person_00550,63,Hyderabad,Associate
P00551,Person_00551,62,Vadodara,Associate
P00552,Person_00552,32,Indore,Suspect
P00553,Person_00553,62,Hyderabad,Person of Interest
P00554,Person_00554,58,Delhi,Suspect
P00555,Person_00555,63,Mumbai,Suspect
P00556,Person_00556,37,Rajkot,Associate
P00557,Person_00557,47,Bengaluru,Suspect
P00558,Person_00558,47,Mumbai,Associate
P00559,Person_00559,46,Pune,Suspect
P00560,Person_00560,37,Vadodara,Person of Interest
P00561,Person_00561,60,Rajkot,Suspect
P00562,Person_00562,51,Surat,Associate
P00563,Person_00563,64,Pune,Associate
P00564,Person_00564,44,Hyderabad,Person of Interest
P00565,Person_00565,55,Mumbai,Person of Interest
P00566,Person_00566,41,Hyderabad,Suspect
P00567,Person_00567,33,Vadodara,Person of Interest
P00568,Person_00568,44,Surat,Suspect
P00569,Person_00569,64,Bengaluru,Person of Interest
P00570,Person_00570,30,Hyderabad,Person of Interest
P00571,Person_00571,35,Rajkot,Suspect
P00572,Person_00572,40,Delhi,Person of Interest
P00573,Person_00573,34,Pune,Suspect
P00574,Person_00574,27,Pune,Person of Interest
P00575,Person_00575,60,Vadodara,Person of Interest
P00576,Person_00576,24,Ahmedabad,Suspect
P00577,Person_00577,54,Kolkata,Associate
P00578,Person_00578,59,Mumbai,Person of Interest
P00579,Person_00579,27,Ahmedabad,Witness
P00580,Person_00580,35,Indore,Associate
P00581,Person_00581,48,Bengaluru,Associate
P00582,Person_00582,62,Vadodara,Suspect
P00583,Person_00583,23,Indore,Suspect
P00584,Person_00584,37,Bengaluru,Person of Interest
P00585,Person_00585,57,Indore,Suspect
P00586,Person_00586,56,Surat,Person of Interest
P00587,Person_00587,58,Vadodara,Person of Interest
P00588,Person_00588,30,Pune,Person of Interest
P00589,Person_00589,53,Indore,Person of Interest
P00590,Person_00590,45,Indore,Witness
P00591,Person_00591,52,Bengaluru,Suspect
P00592,Person_00592,21,Kolkata,Suspect
P00593,Person_00593,48,Vadodara,Associate
P00594,Person_00594,63,Rajkot,Suspect
P00595,Person_00595,41,Jaipur,Suspect
P00596,Person_00596,24,Mumbai,Person of Interest
P00597,Person_00597,23,Ahmedabad,Associate
P00598,Person_00598,63,Mumbai,Suspect
P00599,Person_00599,59,Indore,Suspect
P00600,Person_00600,54,Rajkot,Suspect
P00601,Person_00601,39,Delhi,Person of Interest
P00602,Person_00602,21,Surat,Associate
P00603,Person_00603,23,Indore,Associate
P00604,Person_00604,60,Kolkata,Suspect
P00605,Person_00605,60,Bengaluru,Person of Interest
P00606,Person_00606,33,Mumbai,Person of Interest
P00607,Person_00607,33,Jaipur,Suspect
P00608,Person_00608,57,Hyderabad,Associate
